"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC   51         ","UGC   138         ","GALXY","AND","00 14.6","+48 15","13.1","13.2","59 ","4 ","   1.7 m","   1.4 m","20 ","S0 Pec     ","    ","     ","    ","pF;pS;R;bM                                             ","brightest in group of 6 including NGC 49 and NGC 48                                   "
"NGC   67         ","V V 166           ","GALXY","AND","00 18.2","+30 04","14.2","13.9","89 ","4 ","   0.3 m","   0.2 m","55 ","Elliptical ","    ","     ","    ","eF;vS;R                                                ","                                                                                      "
"NGC   67A        ","ZwG 499.104       ","GALXY","AND","00 18.2","+30 03","15.7","15.7","89 ","4 ","   0.4 m","   0.2 m","100","E5         ","    ","     ","    ","                                                       ","                                                                                      "
"NGC   68         ","UGC   170         ","GALXY","AND","00 18.3","+30 04","12.9","14.2","89 ","4 ","   1.2 m","   1.1 m","   ","E-SO       ","    ","     ","    ","eF;L;3 or 4 st+neb                                     ","H V 16;In compact group                                                               "
"NGC   69         ","MCG   5- 1- 66    ","GALXY","AND","00 18.3","+30 02","14.8","14.2","89 ","4 ","   0.5 m","   0.3 m","45 ","E-SO Bar   ","    ","     ","    ","eF;vS;R                                                ","                                                                                      "
"NGC   70         ","UGC   174;IC 1539 ","GALXY","AND","00 18.4","+30 05","13.5","13.9","89 ","4 ","   1.6 m","   1.4 m","5  ","Sbc        ","    ","     ","    ","eF;vS;R;bet 2 F st                                     ","In compact group w NGC 68 and 71                                                      "
"NGC   71         ","UGC   173;V V 166 ","GALXY","AND","00 18.4","+30 04","13.2","13.4","89 ","4 ","   1.5 m","   1.2 m","90 ","S0 Pec     ","    ","     ","    ","eF;vS;R                                                ","In compact group                                                                      "
"NGC   72         ","UGC   176;V V 166 ","GALXY","AND","00 18.5","+30 02","13.5","13.3","89 ","4 ","   1.1 m","   0.9 m","15 ","SBab       ","    ","     ","    ","eF;vS;R                                                ","In compact group                                                                      "
"NGC   72A        ","MCG   5- 1- 70    ","GALXY","AND","00 18.6","+30 02","14.7","12  ","89 ","4 ","   0.3 m","   0.3 m","   ","Elliptical ","    ","     ","    ","                                                       ","1' south of NGC 72;compact                                                            "
"NGC   74         ","MCG   5- 1- 71    ","GALXY","AND","00 18.8","+30 04","16.0","99.9","89 ","4 ","   0.8 m","   0.3 m","130","Sb         ","    ","     ","    ","eF;S;E;last of 6                                       ","                                                                                      "
"NGC   76         ","UGC   185         ","GALXY","AND","00 19.6","+29 56","13.0","12.7","89 ","4 ","   1   m","   0.9 m","80 ","Compact    ","    ","     ","    ","vF;S;bM                                                ","compact;complex nucl region                                                           "
"NGC   79         ","MCG   4- 2-  3    ","GALXY","AND","00 21.0","+22 34","15.0","99.9","126","4 ","   0.5 m","   0.5 m","   ","E-SO       ","    ","     ","    ","vF;S;vlbM                                              ","Compact                                                                               "
"NGC   80         ","UGC   203         ","GALXY","AND","00 21.2","+22 21","12.1","13.2","126","4 ","   2.2 m","   2   m","   ","E-SO       ","    ","     ","    ","F;S;R;psbM                                             ","Brightest in group                                                                    "
"NGC   81         ","NPM1G +22  016    ","GALXY","AND","00 21.2","+22 23","16.4","99.9","126","4 ","   0.2 m","   0.1 m","90 ","S          ","    ","     ","    ","eeF;sp NGC 83                                          ","                                                                                      "
"NGC   82         ","                  ","1STAR","AND","00 21.3","+22 28","14.0","99.9","126","4 ","        ","        ","   ","           ","    ","     ","    ","eF;stellar                                             ","                                                                                      "
"NGC   83         ","UGC   206         ","GALXY","AND","00 21.4","+22 26","12.5","13.4","126","4 ","   1.3 m","   1.2 m","   ","E0         ","    ","     ","    ","E;biN;3 B st nr                                        ","NGC 80 group                                                                          "
"NGC   84         ","                  ","1STAR","AND","00 21.4","+22 37","17.0","99.9","126","4 ","        ","        ","   ","           ","    ","     ","    ","eF;st & neb                                            ","                                                                                      "
"NGC   85A        ","NGC   85          ","GALXY","AND","00 21.4","+22 31","15.5","99.9","126","4 ","   0.5 m","   0.5 m","   ","S          ","    ","     ","    ","eeF;cL;R                                               ","                                                                                      "
"NGC   85B        ","IC 1546           ","GALXY","AND","00 21.5","+22 30","15.5","99.9","126","4 ","   0.9 m","   0.3 m","120","Sbc        ","    ","     ","    ","                                                       ","                                                                                      "
"NGC   86         ","MCG   4- 2-  9    ","GALXY","AND","00 21.5","+22 33","15.0","99.9","126","4 ","   0.7 m","   0.3 m","5  ","S pec      ","    ","     ","    ","eF;vS;lbM                                              ","                                                                                      "
"NGC   90         ","UGC   208         ","GALXY","AND","00 21.9","+22 24","14.5","99.9","126","4 ","   1.9 m","   0.8 m","132","SBc        ","    ","     ","    ","vF;lE                                                  ","                                                                                      "
"NGC   91         ","                  ","1STAR","AND","00 21.9","+22 22","13.7","14  ","126","4 ","        ","        ","   ","           ","    ","     ","    ","vF;vS;* 13 sp                                          ","Distorted;NGC 80 group                                                                "
"NGC   93         ","UGC   209         ","GALXY","AND","00 22.1","+22 25","13.3","12.9","126","4 ","   1.4 m","   0.6 m","48 ","Sb         ","    ","     ","    ","vF;vS                                                  ","Part of NGC 80 group                                                                  "
"NGC   94         ","ZwG 479. 17       ","GALXY","AND","00 22.2","+22 29","15.5","99.9","126","4 ","   0.4 m","   0.2 m","20 ","S          ","    ","     ","    ","eF;vS                                                  ","Northern of 2                                                                         "
"NGC   96         ","MCG   4- 2- 14    ","GALXY","AND","00 22.3","+22 33","17.0","99.9","126","4 ","   0.7 m","   0.7 m","   ","SO         ","    ","     ","    ","vF;S;vlbM                                              ","                                                                                      "
"NGC   97         ","UGC   216         ","GALXY","AND","00 22.5","+29 45","12.3","13  ","90 ","4 ","   1.5 m","   1.3 m","   ","Elliptical ","    ","     ","    ","F;vS;R;gbM                                             ","Compact                                                                               "
"NGC  108         ","UGC   246         ","GALXY","AND","00 26.0","+29 13","12.1","13.3","90 ","4 ","   2   m","   1.6 m","75 ","SBO-a      ","    ","     ","    ","pF;pL;R;pslbM                                          ","H III 148                                                                             "
"NGC  109         ","UGC   251         ","GALXY","AND","00 26.2","+21 48","13.7","13.8","126","4 ","   1.1 m","   1   m","77 ","SBa        ","    ","     ","    ","vF;S;3 st nr                                           ","f of 2                                                                                "
"NGC  112         ","UGC   255         ","GALXY","AND","00 26.8","+31 42","13.5","12.7","90 ","4 ","   1   m","   0.5 m","108","Sc         ","    ","     ","    ","eF;vS;R                                                ","                                                                                      "
"NGC  140         ","UGC   311         ","GALXY","AND","00 31.3","+30 47","13.2","13.8","90 ","4 ","   1.5 m","   1.2 m","45 ","SBc Ring   ","    ","     ","    ","vF;S;R;gbM                                             ","                                                                                      "
"NGC  149         ","UGC   332         ","GALXY","AND","00 33.8","+30 43","13.7","13.5","90 ","4 ","   1.2 m","   0.7 m","155","SO         ","    ","     ","    ","vF;vS;R;gbM*14;*12 sp                                  ","Compact                                                                               "
"AND III          ","PGC 2121          ","GALXY","AND","00 35.4","+36 31","15.0","99.9","90 ","4 ","   2.0 m","   2.0 m","   ","dE2        ","    ","     ","    ","                                                       ","Andromeda Dwarf;Member Local Group                                                    "
"NGC  160         ","UGC   356         ","GALXY","AND","00 36.1","+23 57","12.6","14.3","126","4 ","   2.9 m","   1.6 m","45 ","Sa Ring    ","    ","     ","    ","vF;vS;stell;*8;17 degrees;4'                           ","H III 476;UGC 356                                                                     "
"NGC  162         ","                  ","1STAR","AND","00 36.2","+23 58","99.9","99.9","126","4 ","        ","        ","   ","           ","    ","     ","    ","eF;stellar;NGC 160 sp                                  ","                                                                                      "
"NGC  169         ","UGC   365;Arp 282 ","GALXY","AND","00 36.9","+23 59","13.2","99.9","126","4 ","   1.8 m","   0.8 m","88 ","Sb         ","    ","     ","    ","F;pL;D or biN;*6 nf 4'                                 ","Contact P w IC 1559                                                                   "
"NGC  181         ","MCG   5- 2- 32    ","GALXY","AND","00 38.4","+29 28","15.5","99.9","90 ","4 ","   0.7 m","   0.2 m","160","S pec      ","    ","     ","    ","eF;eS;irr;vF * att                                     ","                                                                                      "
"NGC  183         ","UGC   387         ","GALXY","AND","00 38.5","+29 31","12.7","14.1","90 ","4 ","   2.1 m","   1.6 m","130","Elliptical ","    ","     ","    ","pF;vS;R;gbM                                            ","                                                                                      "
"NGC  184         ","ZwG 500. 59       ","GALXY","AND","00 38.6","+29 27","14.6","12.3","90 ","4 ","   0.7 m","   0.2 m","5  ","SO         ","    ","     ","    ","eF;eS                                                  ","                                                                                      "
"NGC  205         ","M 110             ","GALXY","AND","00 40.4","+41 41"," 8.1","14  ","60 ","4 ","  19.5 m","  11.5 m","170","SA0        ","    ","     ","  HM","vB;vL;mE 165 degrees;vgvmbM                            ","M31 Companion;UGC 426;H V 18; Member Local Group                                      "
"NGC  206         ","                  ","G+C+N","AND","00 40.5","+40 44","12.8","99.9","60 ","4 ","   1.8 m","   0.6 m","   ","Pec        ","    ","     ","    ","vF;vL;mE 0 degrees                                     ","H V 36;A star cloud in the south end of Andromeda Galaxy                              "
"NGC  214         ","UGC   438         ","GALXY","AND","00 41.5","+25 30","12.3","13.1","126","4 ","   1.9 m","   1.5 m","35 ","SBc        ","    ","     ","    ","pF;pS;gvlbM;R                                          ","H II 209;UGC 438                                                                      "
"NGC  218         ","UGC   440         ","GALXY","AND","00 41.7","+36 22","14.0","14.1","90 ","4 ","   1.1 m","   1.1 m","   ","S pec      ","    ","     ","    ","eF;vS;R;gbM                                            ","                                                                                      "
"NGC  221         ","M  32             ","GALXY","AND","00 42.7","+40 52"," 8.1","12.4","60 ","4 ","   8.5 m","   6.5 m","170","E2         ","    ","     ","   M","vvB;L;R;psmbMN                                         ","Companion to M31; Member of Local Group                                               "
"NGC  224         ","M  31             ","GALXY","AND","00 42.7","+41 16"," 3.4","13.5","60 ","4 "," 189   m","  61   m","35 ","Sb         ","    ","     ","   M","!!!eeB;eL;vmE                                          ","Local Group;Andromeda Galaxy;nearest spiral                                           "
"NGC  226         ","UGC   459         ","GALXY","AND","00 42.9","+32 35","13.3","13  ","90 ","4 ","   0.9 m","   0.9 m","   ","Pec        ","    ","     ","    ","eF;S;R;* 13 s 20''                                     ","                                                                                      "
"NGC  228         ","UGC   458         ","GALXY","AND","00 42.9","+23 30","13.7","13.8","126","4 ","   1.2 m","   1.1 m","   ","SBab Ring  ","    ","     ","    ","eF;S;R;fainter of 2                                    ","2nd of 3                                                                              "
"NGC  229         ","MCG   4- 2- 49    ","GALXY","AND","00 43.1","+23 31","14.5","99.9","126","4 ","   1   m","   0.4 m","95 ","S pec      ","    ","     ","    ","vF;S;R;smaller of 2                                    ","                                                                                      "
"NGC  233         ","UGC   464         ","GALXY","AND","00 43.6","+30 35","12.4","13.4","90 ","4 ","   1.7 m","   1.6 m","   ","Elliptical ","    ","     ","    ","F;vS;R;lbM                                             ","H III 149                                                                             "
"AND I            ","PGC 2666          ","GALXY","AND","00 45.7","+38 03","13.2","99.9","90 ","4 ","   4.0 m","   3.0 m","156","E3         ","    ","     ","    ","                                                       ","Andromeda Dwarf;Member Local Group                                                    "
"NGC  243         ","MCG   5- 2- 43    ","GALXY","AND","00 46.0","+29 58","13.6","12.5","90 ","4 ","   0.9 m","   0.4 m","145","S pec      ","    ","     ","    ","F;vS;R;gbM;* 10 p                                      ","                                                                                      "
"NGC  252         ","UGC   491         ","GALXY","AND","00 48.0","+27 37","12.4","12.8","126","4 ","   1.4 m","   1   m","80 ","Sa Ring    ","    ","     ","    ","pB;S;R;pmbM;r;** p                                     ","H II 609;Brightest in group;UGC 491                                                   "
"NGC  258         ","MCG   4- 3-  5    ","GALXY","AND","00 48.2","+27 39","15.0","99.9","127","4 ","   0.5 m","   0.4 m","   ","Sb         ","    ","     ","    ","eF;S;vf * close                                        ","                                                                                      "
"NGC  260         ","UGC   497         ","GALXY","AND","00 48.6","+27 41","13.5","13.2","127","4 ","   0.8 m","   0.8 m","   ","Scp        ","    ","     ","    ","eF;pS;lE                                               ","NGC 252 group                                                                         "
"NGC  262         ","UGC   499;Mrk 348 ","GALXY","AND","00 48.8","+31 57","13.1","13.1","90 ","4 ","   1.4 m","   1.4 m","   ","Sa         ","    ","     ","    ","eF;vS;R;v diffic                                       ","                                                                                      "
"NGC  272         ","OCL  312          ","OPNCL","AND","00 51.4","+35 49"," 8.5","99.9","90 ","4 ","        ","        ","   ","IV 1 p     ","8   "," 9   ","    ","Cl;L;lC                                                ","                                                                                      "
"NGC  280         ","UGC   534         ","GALXY","AND","00 52.5","+24 21","13.2","13.8","127","4 ","   1.7 m","   1.1 m","95 ","SB Ring    ","    ","     ","    ","eF;S;R;*15 f 30''                                      ","H III 477;distorted;asym ecc nucl region;UGC 534                                      "
"NGC  304         ","UGC   573         ","GALXY","AND","00 56.1","+24 08","13.0","12.6","127","4 ","   1.1 m","   0.7 m","175","S pec      ","    ","     ","    ","pF;S;R;svlbM                                           ","eruptive ?;sff of 2                                                                   "
"NGC  317A        ","NGC 317-1         ","GALXY","AND","00 57.7","+43 48","14.5","99.9","60 ","4 ","   1.4 m","   1.3 m","   ","SO         ","    ","     ","    ","eeF;pS;lE;D * close f                                  ","                                                                                      "
"NGC  317B        ","NGC 317-2         ","GALXY","AND","00 57.7","+43 47","13.9","99.9","60 ","4 ","   1.1 m","   0.5 m","105","SBbc       ","    ","     ","    ","                                                       ","                                                                                      "
"IC    65         ","UGC   625         ","GALXY","AND","01 00.9","+47 41","12.8","14.3","60 ","4 ","   3.9 m","   1.1 m","155","SBbc       ","    ","     ","    ","eF;pL;mE;B star sf                                     ","                                                                                      "
"NGC  389         ","UGC   703         ","GALXY","AND","01 08.5","+39 42","13.8","13  ","60 ","4 ","   1.3 m","   0.4 m","54 ","Sa         ","    ","     ","    ","eF;eS;R;* nr                                           ","                                                                                      "
"NGC  393         ","UGC   707         ","GALXY","AND","01 08.6","+39 39","12.5","13.4","60 ","4 ","   1.7 m","   1.4 m","20 ","E-SO       ","    ","     ","    ","F;vS;vlE;gbM;4 S st nr                                 ","H I  54                                                                               "
"NGC  404         ","UGC   718         ","GALXY","AND","01 09.4","+35 43","10.3","12.8","91 ","4 ","   4.3 m","   3.9 m","   ","E0         ","    ","     ","  H ","pB;cL;R;gbM                                            ","H II 224;UGC 718;Beta AND sf 6'                                                       "
"NGC  425         ","UGC   758         ","GALXY","AND","01 13.0","+38 46","12.6","12.4","91 ","4 ","   1   m","   1   m","   ","S pec      ","    ","     ","    ","vF;vS;R;lbM;* 11 att                                   ","                                                                                      "
"NGC  431         ","UGC   776         ","GALXY","AND","01 14.1","+33 42","12.9","12.9","91 ","4 ","   1.4 m","   0.9 m","20 ","SBO        ","    ","     ","    ","F;S;vsbM                                               ","                                                                                      "
"NGC  464         ","                  ","2STAR","AND","01 19.4","+34 57","99.9","99.9","91 ","4 ","        ","        ","   ","           ","    ","     ","    ","S                                                      ","                                                                                      "
"NGC  477         ","UGC   886         ","GALXY","AND","01 21.3","+40 29","13.0","13.9","61 ","4 ","   2.2 m","   1.2 m","135","SBc        ","    ","     ","    ","vF;pS;vlE;vglbM                                        ","H III 577;2 main arms split into several secondary arms;UGC 886                       "
"NGC  512         ","UGC   944         ","GALXY","AND","01 24.0","+33 54","13.2","12.4","91 ","4 ","   1.6 m","   0.4 m","116","Sab        ","    ","     ","    ","vF;vS                                                  ","                                                                                      "
"NGC  513         ","UGC   953         ","GALXY","AND","01 24.4","+33 48","12.9","11.1","91 ","4 ","   0.7 m","   0.3 m","75 ","Sc         ","    ","     ","    ","F;S;stellar                                            ","H III 169;UGC 953                                                                     "
"NGC  523         ","NGC  537          ","GALXY","AND","01 25.3","+34 01","12.7","13.2","91 ","4 ","   2.5 m","   0.7 m","108","Sbc        ","    ","     ","    ","Dneb;vF;vS; pos 90 deg; dist 30''                      ","H III 170?;Peculiar;UGC 979                                                           "
"NGC  537         ","NGC  523          ","GALXY","AND","01 25.3","+34 01","13.5","99.9","91 ","4 ","   2.5 m","   0.7 m","108","Sbc        ","    ","     ","    ","stellar;(=523)                                         ","H III 170                                                                             "
"NGC  528         ","UGC   988         ","GALXY","AND","01 25.6","+33 40","12.5","13.1","91 ","4 ","   1.7 m","   1.1 m","55 ","SO         ","    ","     ","    ","F;pL;R;lbM                                             ","                                                                                      "
"NGC  529         ","UGC   955         ","GALXY","AND","01 25.7","+34 43","12.1","13.8","91 ","4 ","   2.4 m","   2.1 m","160","E-SO       ","    ","     ","    ","pB;vS;sbM;p of 2                                       ","                                                                                      "
"NGC  531         ","UGC  1012         ","GALXY","AND","01 26.3","+34 45","13.8","13.6","91 ","4 ","   1.8 m","   0.5 m","34 ","SBO-a      ","    ","     ","    ","F;S;R                                                  ","                                                                                      "
"NGC  536         ","UGC  1013         ","GALXY","AND","01 26.4","+34 42","12.4","13.4","91 ","4 ","   3   m","   1.1 m","62 ","SBb        ","    ","     ","    ","pB;pL;gbM;f of 2                                       ","H III 171;UGC 1013                                                                    "
"NGC  542         ","MCG   6- 4- 22    ","GALXY","AND","01 26.5","+34 41","14.7","12.9","91 ","4 ","   1   m","   0.2 m","135","Sb         ","    ","     ","    ","eF;diffic                                              ","                                                                                      "
"NGC  551         ","UGC  1034         ","GALXY","AND","01 27.7","+37 11","12.7","12.9","91 ","4 ","   1.8 m","   0.8 m","140","SBbc       ","    ","     ","    ","vF;S;E;vglbM;*13 nr                                    ","H III 560                                                                             "
"NGC  561         ","UGC  1048         ","GALXY","AND","01 28.3","+34 18","12.9","13.7","91 ","4 ","   1.6 m","   1.5 m","   ","SBa        ","    ","     ","    ","eF;pL;R                                                ","                                                                                      "
"NGC  562         ","UGC  1049         ","GALXY","AND","01 28.5","+48 23","13.3","13.4","61 ","4 ","   1.3 m","   1.1 m","20 ","Sc         ","    ","     ","    ","eF;pS;R;D* nr S                                        ","                                                                                      "
"NGC  573         ","UGC  1078         ","GALXY","AND","01 30.8","+41 15","13.1","10.9","61 ","4 ","   0.4 m","   0.4 m","   ","Pec        ","    ","     ","    ","vF;vS;R;gbM                                            ","Peculiar                                                                              "
"NGC  591         ","UGC  1111         ","GALXY","AND","01 33.5","+35 40","12.9","13  ","91 ","4 ","   1.3 m","   1   m","5  ","SBO-a      ","    ","     ","    ","eF;pS;R;lbM;B* sf                                      ","                                                                                      "
"NGC  590         ","UGC  1109         ","GALXY","AND","01 33.7","+44 56","12.9","14.1","61 ","4 ","   2.6 m","   1.3 m","150","SBO-a      ","    ","     ","    ","F;vS;(rr)                                              ","sff of 2                                                                              "
"NGC  605         ","UGC  1128         ","GALXY","AND","01 35.0","+41 15","12.9","13.8","61 ","4 ","   2.2 m","   1.1 m","145","SO         ","    ","     ","    ","vF;vS;R;bM                                             ","                                                                                      "
"NGC  620         ","UGC  1150         ","GALXY","AND","01 37.0","+42 19","14.0","99.9","61 ","4 ","   1   m","   0.9 m","   ","Compact    ","    ","     ","    ","eF;vS;R;lbM                                            ","peculiar                                                                              "
"PK 130-11.1      ","M1- 1             ","PLNNB","AND","01 37.3","+50 28","14.3","9.1 ","37 ","1 ","   6   s","        ","   ","           ","    ","16.2 ","    ","                                                       ","                                                                                      "
"NGC  653         ","UGC  1193         ","GALXY","AND","01 42.4","+35 38","13.4","12.1","92 ","4 ","   1.5 m","   0.2 m","39 ","Sab        ","    ","     ","    ","vF;pL;mE;lbM;sev * inv                                 ","                                                                                      "
"NGC  662         ","UGC  1220         ","GALXY","AND","01 44.6","+37 42","12.9","11.8","92 ","4 ","   0.8 m","   0.5 m","20 ","Sc         ","    ","     ","    ","F;S;R;mbM                                              ","Peculiar                                                                              "
"NGC  668         ","UGC  1238         ","GALXY","AND","01 46.4","+36 28","13.1","13.8","92 ","4 ","   1.8 m","   1.2 m","30 ","Sb         ","    ","     ","    ","pF;pS;R;gbM                                            ","                                                                                      "
"NGC  679         ","UGC  1283         ","GALXY","AND","01 49.7","+35 47","12.3","13.8","92 ","4 ","   2.1 m","   2.1 m","   ","SO         ","    ","     ","    ","F;stellar                                              ","H III 175                                                                             "
"NGC  687         ","UGC  1298         ","GALXY","AND","01 50.6","+36 22","12.3","12.9","92 ","4 ","   1.4 m","   1.4 m","   ","SO         ","    ","     ","    ","vF;stellar                                             ","H III 561                                                                             "
"NGC  700         ","ZwG 522. 30       ","GALXY","AND","01 52.3","+36 02","14.4","13.2","92 ","4 ","   0.8 m","   0.7 m","   ","SO         ","    ","     ","    ","eF;vS;R;sp 703                                         ","                                                                                      "
"NGC  704         ","UGC  1343         ","GALXY","AND","01 52.6","+36 08","14.0","99.9","92 ","4 ","   0.6 m","   0.4 m","85 ","S pec      ","    ","     ","    ","vF;vS;R;2nd of 4                                       ","H III 563;Double system;Symbiotic                                                     "
"Abell  262       ","                  ","GALCL","AND","01 52.7","+36 09","13.0","99.9","92 ","4 "," 100.8 m","        ","   ","0 1 III    ","    ","     ","    ","                                                       ","Includes NGC 708 and 753;rather loose and irregular; 40 galaxies                      "
"NGC  703         ","UGC  1346         ","GALXY","AND","01 52.7","+36 10","13.3","13.2","92 ","4 ","   1.2 m","   0.9 m","50 ","SO         ","    ","     ","    ","vF;vS;R;1st of 4                                       ","H III 562;NGC 708 group                                                               "
"NGC  705         ","UGC  1345         ","GALXY","AND","01 52.7","+36 09","13.6","12.3","92 ","4 ","   1.2 m","   0.3 m","117","Sa         ","    ","     ","    ","vF;vS;R;3rd of 4                                       ","H III 564;NGC 708 group                                                               "
"NGC  708         ","UGC  1348         ","GALXY","AND","01 52.8","+36 09","12.7","14.9","92 ","4 ","   3   m","   2.5 m","35 ","E2         ","    ","     ","    ","F;pL;bM;4th of 4                                       ","H III 565;Brightest in group which incl NGC 703-4-5                                   "
"NGC  709         ","ZwG 522. 40       ","GALXY","AND","01 52.8","+36 13","14.3","99.9","92 ","4 ","   1   m","   0.5 m","130","S          ","    ","     ","    ","vF;pS;bet 2*;group sp                                  ","                                                                                      "
"NGC  710         ","UGC  1349         ","GALXY","AND","01 52.9","+36 03","13.7","14  ","92 ","4 ","   1.3 m","   1.2 m","   ","Sc         ","    ","     ","    ","vF;pS;2*S                                              ","                                                                                      "
"NGC  712         ","UGC  1352         ","GALXY","AND","01 53.1","+36 49","12.8","12.9","92 ","4 ","   1.3 m","   1   m","85 ","SO         ","    ","     ","    ","vF;R;am pB stars                                       ","                                                                                      "
"NGC  714         ","UGC  1358         ","GALXY","AND","01 53.5","+36 13","13.1","12.3","92 ","4 ","   1.5 m","   0.4 m","112","Sa         ","    ","     ","    ","F;vS;R;2*13 p & np                                     ","                                                                                      "
"NGC  717         ","UGC  1363         ","GALXY","AND","01 53.9","+36 14","13.9","12.5","92 ","4 ","   1.3 m","   0.2 m","117","Sa         ","    ","     ","    ","vF;pS;*15 sf 1'                                        ","                                                                                      "
"NGC  721         ","UGC  1376         ","GALXY","AND","01 54.8","+39 23","13.5","13.9","61 ","4 ","   1.7 m","   1   m","135","SBbc       ","    ","     ","    ","eF;pL                                                  ","                                                                                      "
"UGC  1385        ","Mrk    2          ","GALXY","AND","01 54.9","+36 55","13.4","12.3","92 ","4 ","   0.8 m","   0.7 m","170","SBa        ","    ","     ","    ","                                                       ","brightest of 3                                                                        "
"NGC  732         ","UGC  1406         ","GALXY","AND","01 56.5","+36 48","13.5","13.8","92 ","4 ","   1.4 m","   1   m","10 ","SO         ","    ","     ","    ","vF*Inv vF;vS;R;neby                                    ","                                                                                      "
"NGC  752         ","OCL  363          ","OPNCL","AND","01 57.7","+37 40"," 5.7","99.9","92 ","4 ","  50   m","        ","   ","III 1 m    ","60  "," 9   "," CH ","Cl;vvL;Ri;*L & S;C                                     ","H VII 32;Best in RFT or binocs;Ir scattered cl 70* mags 8...                          "
"NGC  753         ","UGC  1437         ","GALXY","AND","01 57.7","+35 55","12.3","13.9","92 ","4 ","   2.5 m","   2   m","125","SBbc       ","    ","     ","    ","pB;pL;R;gmbM                                           ","P w NGC 759                                                                           "
